1,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ncit_c60819,rarelink_6_3_measurements,,text,6.3.1 Assay,BIOPORTAL:LOINC,Please search the assay in LOINC and see tips above.,,,,,[measurement_category] != 'vital-signs' and [measurement_category] != 'procedure',y,,,,,"Variable: NCIT:C60819 | Assay
Choices: n/a
Version(s):
T.01e
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.code
- GA4GH Phenopacket Schema v2.0 Element: Measurement.assay"
ln_85353_1,rarelink_6_3_measurements,,dropdown,6.3.1A Vital Signs Panel,"85353_1, Vital Signs Panel | 9279_1, Respiratory Rate [/min] | 8867_4, Heart Rate [/min] | 2708_6, Oxygen Saturation [%] | 8310_5, Body Temperature [Cel, degF] | 8302_2, Body Height [cm] | 9843_4, Head Circumference [cm] | 29463_7, Body Weight [kg] | 39156_5, Body Mass Index [kg/m2] | 8480_6, Systolic Blood Pressure [mmHg] | 8462_4, Diastolic Blood Pressure [mmHg] | other, Other",The type of vital sign measurement performed.,,,,,[measurement_category] = 'vital-signs',y,,,,,"Variable: LOINC:85353_1 | Vital Signs Panel  
Choices:  
- 9279_1, Respiratory Rate [/min]  
- 8867_4, Heart Rate [/min]  
- 2708_6, Oxygen Saturation [%]  
- 8310_5, Body Temperature [Cel, degF]  
- 8302_2, Body Height [cm]  
- 9843_4, Head Circumference [cm]  
- 29463_7, Body Weight [kg]  
- 39156_5, Body Mass Index [kg/m2]  
- 8480_6, Systolic Blood Pressure [mmHg]  
- 8462_4, Diastolic Blood Pressure [mmHg]  
- other, Other  
Version(s):  
- LOINC vLNC278
Mapping:  
- HL7 FHIR Expression v4.0.1: Observation.code  
- GA4GH Phenopacket Schema v2.0 Element: Measurement.assay"
ln_85353_1_other,rarelink_6_3_measurements,,text,6.3.1A Other Vital Sign,BIOPORTAL:LOINC,"If not found in the list of choices above, the type of vital sign measurement performed",,,,,[ln_85353_1] = 'other',,,,,,
ncit_c25712,rarelink_6_3_measurements,,text,6.3.2 Value,,Please enter a two decimal number,number,0.00,999999.99,,[measurement_category] != 'procedure',y,,,,,"Variable: NCIT:C25712 | Value
Choices: n/a
Version(s):
T.01e
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.value[x]
- GA4GH Phenopacket Schema v2.0 Element: Measurement.measurement_value"
ncit_c92571,rarelink_6_3_measurements,,text,6.3.3 Value Unit,BIOPORTAL:UO,"Please search the unit in the Unit Ontology (UO). Tip: Search for the official abbreviations (e.g. dl, kg, l, etc.)",,,,,"([measurement_category] != 'vital-signs' or [ln_85353_1_other] <> """") and [measurement_category] != 'procedure'",y,,,,,"Variable: NCIT:C92571 | Measurement Unit Description
Choices: n/a
Version(s):
T.01e
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.value[x].unit
- GA4GH Phenopacket Schema v2.0 Element: Measurement.measurement_value"
ncit_c41255,rarelink_6_3_measurements,,text,6.3.4 Interpretation,BIOPORTAL:NCIT,"Please search for an interpretation in NCIT, e.g. positive / negative, below/above reference range, etc. ",,,,,[measurement_category] != 'procedure',,,,,,"Variable: NCIT:C41255 | Interpretation
Choices: n/a
Version(s):
T.01e
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.interpretation
- GA4GH Phenopacket Schema v2.0 Element: Measurement.measurement_value"
ncit_c82577,rarelink_6_3_measurements,,text,6.3.5 Time Observed,,YYYY-MM-DD,date_ymd,,,,,y,,,,,"Variable: NCIT:C82577 | Test Time
Choices:
- n/a
Version(s):
T.01e
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.effectiveDateTime
- GA4GH Phenopacket Schema v2.0 Element: Measurement.time_observed"
procedure,rarelink_6_3_measurements,,dropdown,Procedure as NCIT or SNOMEDCT?,"ncit, NCIT | snomed, SNOMEDCT",,,,,,[measurement_category] != 'procedure',,,,,,
snomedct_122869004_ncit,rarelink_6_3_measurements,,text,6.3.6A Procedure [NCIT],BIOPORTAL:NCIT,Please search for the procedure in NCIT and see tips above.,,,,,[measurement_category] != 'procedure' and [procedure] = 'ncit',,,,,,"Variable: SNOMED:122869004 | Procedure
Choices: 
- n/a
Version(s):
- SNOMED CT SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Procedure.code
- GA4GH Phenopacket Schema v2.0 Element: Measurement.procedure"
snomedct_122869004_snomed,rarelink_6_3_measurements,,text,6.3.6B Procedure [SNOMEDCT],BIOPORTAL:SNOMEDCT,Please search for the procedure in SNOMED and see tips above.,,,,,[measurement_category] != 'procedure' and [procedure] = 'snomed',,,,,,"Variable: SNOMED:122869004 | Procedure
Choices: 
- n/a
Version(s):
- SNOMED CT SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Procedure.code
- GA4GH Phenopacket Schema v2.0 Element: Measurement.procedure"
snomedct_122869004_descr,rarelink_6_3_measurements,,descriptive,"<div class=""rich-text-field-label""><p>If the measurement category procedure is selected, the following information will be displayed within the <a href="https://build.fhir.org/ig/HL7/fhir-ips/StructureDefinition-Procedure-uv-ips.html">FHIR-IPS Procedure Profile</a>. Within GA4GH Phenopackets the information will be saved in the <a href="https://phenopacket-schema.readthedocs.io/en/latest/medical-action.html">MedicalAction block.</a></p> <ul> <li style="font-size: 8pt;"><span style="font-weight: normal;">For IPS/FHIR please use a SNOMED code from the following: </span><a href="https://build.fhir.org/ig/HL7/fhir-ips/en/ValueSet-procedures-uv-ips.html">IPS Procedures Value Set</a> and if possible from <a>SNOMED BodyStructures</a>.</li> <li style="font-size: 8pt;"><span style="font-weight: normal;">For Phenopackets you can use either SNOMED or MAXO (Medical Action Ontology). However, current algorithms from the HPO team are being developed based on the MAXO. </span></li> </ul></div>",,,,,,,"[measurement_category] = 'procedure'",,,,,,
procedure_ontology,rarelink_6_3_measurements,,dropdown,"Choose the ontology to encode your procedure with","snomed, SNOMEDCT | maxo, MAXO (Medical Action Ontology)","use SNOMED for FHIR/IPS!",,,,,,,,,,,
snomedct_122869004,rarelink_6_3_measurements,,text,"6.3.7 Procedure [SNOMEDCT]",BIOPORTAL:SNOMEDCT,"Please search for the procedure in SNOMED",,,,,"[procedure_ontology] = 'snomed'",y,,,,,"Variable: SNOMED:122869004 | Procedure
Choices: 
- n/a
Version(s):
- SNOMED CT SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Procedure.code
- GA4GH Phenopacket Schema v2.0 Element: Measurement.procedure"
snomedct_122869005_maxo,rarelink_6_3_measurements,,text,"6.3.7 Procedure [MAXO]",BIOPORTAL:MAXO,"Please search for the procedure in MAXO",,,,,"[procedure_ontology] = 'maxo'",y,,,,,"Variable: SNOMED:122869004 | Procedure
Choices: 
- n/a
Version(s):
- SNOMED CT SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Procedure.code
- GA4GH Phenopacket Schema v2.0 Element: Measurement.procedure"
snomedct_122869004_bdsite,rarelink_6_3_measurements,,text,6.3.7A Body Site [SNOMEDCT],BIOPORTAL:SNOMEDCT,Please search for the body site in SNOMED,,,,,[measurement_category] = 'procedure',,,,,,"Variable: SNOMED:122869004 - BodySite | Procedure - Body Site
Choices: 
- n/a
Version(s):
- SNOMED CT SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1 [Suggested]: Procedure.bodySite
- GA4GH Phenopacket Schema v2.0 Element: n/a"
snomedct_122869004_status,rarelink_6_3_measurements,,dropdown,6.3.7B Procedure Status [SNOMEDCT],"preparation, Preparation | in-progress, In Progress | not-done, Not Done | on-hold, On Hold | stopped, Stopped | completed, Completed | entered-in-error, Entered in Error | unknown, Unknown
",The status of the procedure,,,,,[measurement_category] = 'procedure',y,,,,,"Variable: SNOMED:122869004 - EventStatus | Procedure - Event Status
Choices:
- preparation | Preparation
- in-progress | In Progress
- not-done | Not Done
- on-hold | On Hold
- stopped | Stopped
- completed | Completed
- entered-in-error | Entered in Error
- unknown | Unknown
Version(s):
- HL7 FHIR v4.0.1
Mapping:
- HL7 FHIR Expression v5.0.0: Observation.status
- GA4GH Phenopacket Schema v2.0 Element: n/a"
family_history_pseudonym,rarelink_6_4_family_history,"RareLink - 6.4) Family History

 <li style=""font-size: 8pt;"">For guidance on entering data into the Family History section, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#family-history"">Manual Data Capture Guide</a>.</li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul>",text,6.4.0 Pseudonym,,"If a pseudonym was already assigned to the specific family member, please enter it here to identify across records.",,,,,,y,,,,,
snomedct_64245008,rarelink_6_4_family_history,,dropdown,6.4.1 Propositus/-a,"snomedct_373066001, Yes | snomedct_373067005, No | snomedct_261665006, Unknown | snomedct_1220561009, Not recorded","Is the individual the first affected family member who seeks medical attention for a genetic disorder, leading to the diagnosis of other family members.",,,,,,,,,,,"SNOMED:64245008 | Propositus/-a  
Choices: 
- SNOMED:373066001 | Yes  
- SNOMED:373067005 | No  
- SNOMED:261665006 | Unknown  
- SNOMED:1220561009 | Not recorded  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: n/a
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives → 1 Phenopacket per family member) "
snomedct_408732007,rarelink_6_4_family_history,,dropdown,6.4.2 Relationship of the individual to the index case / propositus/a,"snomedct_65656005, Natural mother | snomedct_9947008, Natural father | snomedct_83420006, Natural daughter | snomedct_113160008, Natural son | snomedct_60614009, Natural brother | snomedct_73678001, Natural sister | snomedct_11286003, Twin sibling | snomedct_45929001, Half-brother | snomedct_2272004, Half-sister | snomedct_62296006, Natural grandfather | snomedct_17945006, Natural grandmother | snomedct_1220561009, Not recorded","Specifies the familial relationship of the individual being evaluated to the index case or propositus/proposita.
Disclaimer:",,,,,,,,,,,"SNOMED:408732007 | Relationship of the individual to the index case / propositus/a  
Choices: 
- SNOMED:65656005 | Natural mother  
- SNOMED:9947008 | Natural father  
- SNOMED:83420006 | Natural daughter  
- SNOMED:113160008 | Natural son  
- SNOMED:60614009 | Natural brother  
- SNOMED:73678001 | Natural sister  
- SNOMED:11286003 | Twin sibling  
- SNOMED:45929001 | Half-brother  
- SNOMED:2272004 | Half-sister  
- SNOMED:62296006 | Natural grandfather  
- SNOMED:17945006 | Natural grandmother  
- SNOMED:1220561009 | Not recorded  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: n/a  
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives → 1 Phenopacket per family member)  "
snomedct_842009,rarelink_6_4_family_history,,dropdown,6.4.3 Consanguinity,"snomedct_373066001, Yes | snomedct_373067005, No | snomedct_261665006, Unknown | snomedct_1220561009, Not recorded","The presence of a biological relationship between parents who are related by blood, typically as first or second cousins.",,,,,,,,,,,"Variable: 
SNOMED:842009 | Consanguinity  
Choices: 
- SNOMED:373066001 | Yes  
- SNOMED:373067005 | No  
- SNOMED:261665006 | Unknown  
- SNOMED:1220561009 | Not recorded  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Family.consanguinous_parents  
- GA4GH Phenopacket Schema v2.0 Element: (Family.consanguinous_parents)  "
snomedct_444018008,rarelink_6_4_family_history,,dropdown,6.4.4 Family Member Relationship,"snomedct_65656005, Natural mother | snomedct_9947008, Natural father | snomedct_83420006, Natural daughter | snomedct_113160008, Natural son | snomedct_60614009, Natural brother | snomedct_73678001, Natural sister | snomedct_11286003, Twin sibling | snomedct_45929001, Half-brother | snomedct_2272004, Half-sister | snomedct_62296006, Natural grandfather | snomedct_17945006, Natural grandmother | snomedct_1220561009, Not recorded",Specifies the relationship of the selected family member to the patient.,,,,,,y,,,,,"Variable: 
SNOMED:444018008 | Family Member Relationship  
Choices: 
- SNOMED:65656005 | Natural mother  
- SNOMED:9947008 | Natural father  
- SNOMED:83420006 | Natural daughter  
- SNOMED:113160008 | Natural son  
- SNOMED:60614009 | Natural brother  
- SNOMED:73678001 | Natural sister  
- SNOMED:11286003 | Twin sibling  
- SNOMED:45929001 | Half-brother  
- SNOMED:2272004 | Half-sister  
- SNOMED:62296006 | Natural grandfather  
- SNOMED:17945006 | Natural grandmother  
- SNOMED:1220561009 | Not recorded  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.relationship.coding (VS: FamilyMember)  
- GA4GH Phenopacket Schema v2.0 Element: Family.Pedigree.Person.individual_id  "
hl7fhir_fmh_status,rarelink_6_4_family_history,,dropdown,6.4.5 Family Member Record Status,"hl7fhir_partial, Partial | hl7fhir_completed, Completed | hl7fhir_entered-in-error, Entered in Error | hl7fhir_health-unknown, Health Unknown",Specifies the record’s status of the family history of a specific family member.,,,,,,y,,,,,"Variable: 
HL7 FHIR:familymemberhistory.status | Family Member Record Status  
Choices: 
- HL7 FHIR:partial | Partial  
- HL7 FHIR:completed | Completed  
- HL7 FHIR:entered-in-error | Entered in Error  
- HL7 FHIR:health-unknown | Health Unknown  
Version(s): 
- HL7 FHIR Version 4.0.1  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.status (VS: FamilyHistoryStatus)  
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives)  "
loinc_54123_5,rarelink_6_4_family_history,,dropdown,6.4.6 Family Member Sex,"snomedct_248152002, Female | snomedct_248153007, Male | snomedct_184115007, Patient sex unknown | snomedct_32570691000036108, Intersex | snomedct_1220561009, Not recorded","Specifies the sex (or gender) of the specific family member. If possible, the sex assigned at birth should be selected.",,,,,,,,,,,"Variable: 
LOINC:54123-5 | Family Member Sex  
Choices: 
- SNOMED:248152002 | Female  
- SNOMED:248153007 | Male  
- SNOMED:184115007 | Patient sex unknown  
- SNOMED:32570691000036108 | Intersex  
- SNOMED:1220561009 | Not recorded  
Version(s): 
- LOINC vLNC278 LNC278  
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.sex (VS: AdministrativeGender)  
- GA4GH Phenopacket Schema v2.0 Element: Family.Pedigree.Person.sex  "
loinc_54141_7,rarelink_6_4_family_history,,text,6.4.7 Family Member Age,,Records the current age in full years of the selected family member.,integer,0,200,,,,,,,,"Variable: 
LOINC:54141-7 | Family Member Age  
Choices: 
n/a  
Version(s): 
- LOINC vLNC278 LNC278  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.ageAge  
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives)  "
loinc_54124_3,rarelink_6_4_family_history,,text,6.4.8 Family Member Date of Birth,,Records the date of birth of the selected family member.,date_ymd,,,,,,,,,,"Variable: 
LOINC:54124-3 | Family Member Date of Birth  
Choices: 
n/a  
Version(s): 
- LOINC vLNC278 LNC278  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.bornDate  
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives)  "
snomedct_740604001,rarelink_6_4_family_history,,dropdown,6.4.9 Family Member Deceased,"snomedct_373066001, Yes | snomedct_373067005, No | snomedct_261665006, Unknown",Indicates whether the selected family member is deceased.,,,,,,,,,,,"Variable: 
SNOMED:740604001 | Family Member Deceased  
Choices: 
- SNOMED:373066001 | Yes  
- SNOMED:373067005 | No  
- SNOMED:261665006 | Unknown  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.deceased.deceasedBoolean  
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives)  "
loinc_54112_8,rarelink_6_4_family_history,,text,6.4.10 Family Member Cause of Death [ICD10CM],BIOPORTAL:ICD10CM,Records the cause of death of the selected deceased family member.,,,,,[snomedct_740604001] = 'snomedct_373066001',,,,,,"Variable: 
LOINC:54112-8 | Family Member Cause of Death  
Choices: 
n/a  
Version(s): 
- LOINC vLNC278 LNC278  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.condition.code & FamilyMemberHistory.condition.contributedToDeath  
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives)  "
loinc_92662_6,rarelink_6_4_family_history,,text,6.4.11 Family Member Deceased Age,,Records the current age in full years of the selected family member. ,integer,0,200,,[snomedct_740604001] = 'snomedct_373066001',,,,,,"Variable: 
LOINC:92662-6 | Family Member Deceased Age  
Choices: 
n/a  
Version(s): 
- LOINC vLNC278 LNC278  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.deceasedAge  
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives)  "
loinc_75315_2,rarelink_6_4_family_history,,text,6.4.12 Family Member Disease [MONDO],BIOPORTAL:MONDO,Indicates whether the selected family member is affected by the same RD as the individual or a different rare disease.,,,,,,,,,,,"Variable: 
LOINC:75315-2 | Family Member Disease  
Choices: 
n/a  
Version(s): 
- LOINC vLNC278 LNC278  
Mapping: 
- HL7 FHIR Expression v4.0.1: FamilyMemberHistory.condition.code  
- GA4GH Phenopacket Schema v2.0 Element: (Family.relatives)  "
snomedct_309370004,rarelink_7_consent,"<div class=""rich-text-field-label""><p>RareLink - 7) Consent</p> <ul> <li style=""font-size: 8pt;"">For guidance on entering data into the Consent sheet, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#consent"">Manual Data Capture Guide</a>.<span style=""font-weight: normal;""><br></span></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul></div>",dropdown,7.1 Consent Status,"hl7fhir_draft, Pending | hl7fhir_proposed, Proposed | hl7fhir_active, Active | hl7fhir_rejected, Rejected | hl7fhir_inactive, Inactive | hl7fhir_entered-in-error, Entered in Error",Indicates the current status of the consent.,,,,,,y,,,,,"Variable: 
SNOMED:309370004 | Consent Status  
Choices: 
- HL7FHIR:draft | Pending  
- HL7FHIR:proposed | Proposed  
- HL7FHIR:active | Active  
- HL7FHIR:rejected | Rejected  
- HL7FHIR:inactive | Inactive  
- HL7FHIR:entered-in-error | Entered in Error  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Consent.status  
- GA4GH Phenopacket Schema v2.0 Element: n/a "
hl7fhir_consent_datetime,rarelink_7_consent,,text,7.2 Consent Date,,Records the date when the consent was given.,date_ymd,,,,,,,,,,"Variable: 
HL7 FHIR:consent.datetime | Consent Date  
Choices: 
n/a  
Version(s): 
- HL7 FHIR Version 4.0.1  
Mapping: 
- HL7 FHIR Expression v4.0.1: Consent.dateTime  
- GA4GH Phenopacket Schema v2.0 Element: n/a  "
snomedct_386318002,rarelink_7_consent,,text,7.3 Health Policy Monitoring,,"The references to the policies that are included in this consent scope. Policies may be organisational, but are often defined jurisdictionally, or in law. For example: Your entity or organization having regulatory jurisdiction or accountability for enforcing policies pertaining to Consent Directives.",,,,,,y,,,,,"Variable: 
SNOMED:386318002 | Health Policy Monitoring  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Consent.policy  
- GA4GH Phenopacket Schema v2.0 Element: n/a "
rarelink_consent_contact,rarelink_7_consent,,dropdown,7.4 Agreement to be contacted for research purposes,"snomedct_373066001, Yes | snomedct_373067005, No | snomedct_261665006, Unknown
",Indicates whether the patient agrees to be contacted for research purposes.,,,,,,y,,,,,"Variable: 
RareLinkCode:consent_contact_research | Agreement to be contacted for research purposes  
Choices: 
- SNOMED:373066001 | Yes  
- SNOMED:373067005 | No  
- SNOMED:261665006 | Unknown  
Version(s): 
- RareLink Custom Codes Version 2.0
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Consent.scope.coding  
- GA4GH Phenopacket Schema v2.0 Element: n/a  "
rarelink_consent_data,rarelink_7_consent,,dropdown,7.5 Consent to the reuse of data,"snomedct_373066001, Yes | snomedct_373067005, No | snomedct_261665006, Unknown
",Indicates whether the patient consents to the reuse of their data.,,,,,,y,,,,,"Variable: 
RareLinkCode:conset_data_reuse | Consent to the reuse of data  
Choices: 
- SNOMED:373066001 | Yes  
- SNOMED:373067005 | No  
- SNOMED:261665006 | Unknown  
Version(s): 
- RareLink Custom Codes Version 2.0
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Consent.scope.coding  
- GA4GH Phenopacket Schema v2.0 Element: n/a  "
snomedct_123038009,rarelink_7_consent,,dropdown,7.6 Biological sample,"snomedct_373066001, Yes | snomedct_373067005, No | snomedct_261665006, Unknown
",Indicates whether a patient's biological sample is available for research.,,,,,,,,,,,"Variable: 
SNOMED:123038009 | Biological sample  
Choices: 
- SNOMED:373066001 | Yes  
- SNOMED:373067005 | No  
- SNOMED:261665006 | Unknown  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: n/a  
- GA4GH Phenopacket Schema v2.0 Element: n/a  "
rarelink_biobank_link,rarelink_7_consent,,text,7.7 Link to a biobank,,"If there is a biological sample, this data element indicates the link to the biobank of the patient's biological sample.",,,,,,,,,,,"Variable: 
RareLinkCode:biobank_link | Link to a biobank  
Choices: 
n/a  
Version(s): 
- RareLink Custom Codes Version 2.0
Mapping: 
- HL7 FHIR Expression v4.0.1: n/a  
- GA4GH Phenopacket Schema v2.0 Element: n/a "
rarelink_icf_score,rarelink_8_disability,"<div class=""rich-text-field-label""><p>RareLink - 8) Disability</p> <ul> <li style=""font-size: 8pt;"">Tip: For guidance on entering data into the Disability sheet, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#disability"">Manual Data Capture Guide</a>.<span style=""font-weight: normal;""><br></span></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul></div>",text,8.1 Classification of functioning / disability,BIOPORTAL:ICF,,,,,,,,,,,,"Variable: 
RareLinkCode:icf_score | Classification of functioning / disability  
Choices: 
n/a  
Version(s): 
- RareLink Custom Codes Version 2.0
Mapping: 
- ICF: Classification of functioning / disability  
- HL7 FHIR Expression v4.0.1: n/a  
- GA4GH Phenopacket Schema v2.0 Element: n/a"
