SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Hidrométrica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),BACIA,RIO,ÁREA DRENADA (KM2),COTA ZERO ESCALA (M),DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO
15K/01H,ALMOURÃO,179,39.735,-7.749,232962,307463.271,TEJO,RIO OCREZA,967.52,-,CASTELO BRANCO,VILA VELHA DE RÓDÃO,VILA VELHA DE RÓDÃO,Autoridade Nacional da Água,CCDR-CENTRO,SENSOR DE NÍVEL,ESCALA,01-10-1941,-,23-01-2002,23-04-2002,NÃO,DESATIVADA,
H004H,ALQUEIDÃO DO MATO,-,-,-,-,-,TEJO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
03J/01H,ALTO CÁVADO DERIVAÇÃO (R.E.),883,41.803,-7.88,221070.072,537074.982,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,102.2,895,VILA REAL,MONTALEGRE,SEZELHE,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,14-01-1966,-,-,-,NÃO,ATIVA,
03J/06H,ALTO CÁVADO TOTAL (R.E.),881,41.803,-7.878,221225.395,537077.983,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,99.15,-,VILA REAL,MONTALEGRE,SEZELHE,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,14-01-1966,-,-,-,NÃO,ATIVA,
08H/05H,ALVARENGA,161,40.954,-8.173,196670.438,442753.615,DOURO,RIO PAIVA,658.62,-,AVEIRO,AROUCA,CANELAS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,28-01-2002,21-09-2016,NÃO,DESATIVADA,
08H/01H,ALVARENGA (R.E.),161,40.954,-8.173,196670.438,442753.615,DOURO,RIO PAIVA,658.62,116.3,AVEIRO,AROUCA,CANELAS,-,EDP-INAG,-,LIMNIMÉTRICA COM DESCARREGADOR,24-09-1960,20-04-2007,-,-,NÃO,EXTINTA,
17I/02H,ALVEGA,44,39.462,-8.041,207942.374,277149.301,TEJO,RIBEIRA DO CARREGAL,32.74,30.89,SANTARÉM,ABRANTES,ALVEGA,-,CCDR-LVT,-,LIMNIMÉTRICA,01-10-1966,30-09-1978,-,-,NÃO,EXTINTA,
24J/01H,ALVITO,141,38.244,-7.968,214413.958,141947.834,SADO,RIBEIRA DE ODIVELAS,265.95,-,BEJA,ALVITO,ALVITO,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,01-10-1963,30-09-1971,-,-,NÃO,EXTINTA,
31F/04H,ALVOR,0,37.138,-8.596,158831.083,19177.062,RIBEIRAS DO ALGARVE,RIO ALVOR,90.25,-,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,-,CCDR-ALGARVE,-,ESCALA,05-01-1955,15-04-1960,-,-,NÃO,EXTINTA,
06I/01H,AMARANTE,88,41.269,-8.078,204660.761,477795.041,DOURO,RIO TÂMEGA,2846.11,61.39,PORTO,AMARANTE,AMARANTE (SÃO GONÇALO),-,CCDR-NORTE,SENSOR DE NÍVEL,ESCALA,01-10-1937,01-01-1957,10-09-2003,-,SIM,ATIVA,
06I/04H,AMARANTE (R.E.),80,41.268942,-8.075111,204516.448,477634.063,DOURO,RIO TÂMEGA,2846.2,61.39,PORTO,AMARANTE,CEPELOS,-,EDP,-,Limnigráfica,28-05-1985,-,-,-,NÃO,SUSPENSA,
02I/01H,AMEIJOEIRA,722,41.985,-8.163,197545.358,557317.994,LIMA,RIO CASTRO LABOREIRO,57.18,707.74,VIANA DO CASTELO,MELGAÇO,CASTRO LABOREIRO,Autoridade Nacional da Água,CCDR-NORTE,SENSOR DE NÍVEL,LIMNIMÉTRICA COM DESCARREGADOR,01-09-1947,18-12-1983,23-01-2003,-,SIM,ATIVA,
24L/01H,AMIEIRA,148,38.3,-7.554,250693.21,148269.954,GUADIANA,RIO DEGEBE,1477.15,107.36,ÉVORA,REGUENGOS DE MONSARAZ,CAMPO,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1944,31-01-2002,-,-,NÃO,EXTINTA,
11J/01H,ANDORINHA,189,40.41,-7.932,217069.969,382346.093,MONDEGO,RIO SEIA OU RIBEIRA DE PASSOS OU DE AGUA JOANA,184.54,-,COIMBRA,OLIVEIRA DO HOSPITAL,ERVEDAL,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,21-01-2002,15-04-2002,NÃO,DESATIVADA,
09F/03H,ANGEJA,4,40.674,-8.563,163648.323,411712.219,VOUGA/RIBEIRAS COSTEIRAS,RIO VOUGA,2357.98,-.21,AVEIRO,ALBERGARIA-A-VELHA,ANGEJA,Autoridade Nacional da Água,CCDR-CENTRO,-,LIMNIMÉTRICA,01-10-1934,30-04-1985,-,-,NÃO,EXTINTA,
25M/01H,ARDILA (FOZ),96,38.167,-7.412,263200.677,133633.824,GUADIANA,RIO ARDILA,3586.83,81.61,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível com descarregador,LIMNIMÉTRICA COM DESCARREGADOR,01-12-1949,-,21-06-2001,02-08-2005,NÃO,DESATIVADA,
24O/01H,ARDILA FRONTEIRA,139,38.172,-7.129,287953.146,134352.852,GUADIANA,RIO ARDILA,2837.19,-,ÉVORA,MOURÃO,GRANJA,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,18-07-2001,-,NÃO,DESATIVADA,
07F/04H,ARNELAS (R.E.),8,41.082,-8.52,167463.646,457033.813,DOURO,RIO DOURO,97023.67,-1.78,PORTO,GONDOMAR,FOZ DO SOUSA,-,EDP,-,LIMNIMÉTRICA,05-09-1972,23-10-1981,-,-,NÃO,EXTINTA,
03D/01H,ASPRA,7,41.807,-8.848,140576.594,537711.24,ÂNCORA,RIO ÂNCORA,68.49,-,VIANA DO CASTELO,CAMINHA,VILA PRAIA DE ÂNCORA,-,CCDR-NORTE,-,Limnigráfica,29-09-1980,30-09-1990,-,-,NÃO,EXTINTA,
30L/04H,ATALISCA,106,37.293,-7.576,249401.325,36430.772,GUADIANA,RIBEIRA DE BELICHE,54.71,-,FARO,CASTRO MARIM,AZINHAL,Autoridade Nacional da Água,CCDR-ALGARVE,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1985,-,17-05-2001,-,NÃO,ATIVA,
21A/06H,ATROZELA (R.E.),-,38.7440305555556,-9.40325833333333,89464.67,198334.2,TEJO,RIBEIRA DA PENHA LONGA,-,-,LISBOA,CASCAIS,ALCABIDECHE,CÂMARA MUNICIPAL DE CASCAIS,-,SENSOR DE NÍVEL,-,-,-,11-03-2021,-,SIM,ATIVA,
07F/02H,ATÃES (R.E.),16,41.107,-8.537,166107.125,459872.844,DOURO,RIO DOURO,97592.12,-1.83,PORTO,GONDOMAR,JOVIM,-,EDP,-,LIMNIMÉTRICA,14-07-1952,14-07-1981,-,-,NÃO,EXTINTA,
26K/02H,AZENHA DE QUILOS,47,37.955,-7.672,240504.678,109875.093,GUADIANA,RIO GUADIANA,60199.81,-,BEJA,BEJA,QUINTOS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,21-06-2001,28-06-2004,NÃO,DESATIVADA,
26I/01H,AZENHA DO SALTO,112,37.929,-8.087,204074.552,106910.552,SADO,BARRANCO DO ROXO,351.78,-,BEJA,ALJUSTREL,ERVIDEL,-,CCDR-ALENTEJO,-,Escala com descarregador,15-10-1957,30-09-1965,-,-,NÃO,EXTINTA,
05Q/01H,AZIBO (R.E.),224,41.406,-6.804,311150.532,493873.375,DOURO,RIO AZIBO,282.68,211.05,BRAGANÇA,MOGADOURO,CASTRO VICENTE,-,EDP,-,Limnigráfica com descarregador,30-09-1976,01-01-2018,-,-,NÃO,EXTINTA,
17F/04H,AZINHAGA,17,39.346,-8.527,166024.865,264298.615,TEJO,RIO ALMONDA,228.99,10.23,SANTARÉM,GOLEGÃ,AZINHAGA,-,CCDR-LVT,-,ESCALA,01-12-1934,01-01-2000,-,-,NÃO,EXTINTA,
13O/02A,AÇUDE DA BEZÁGUEDA,393,40.152,-7.081,289623.199,354207.208,TEJO,RIO ERGES,85.82,-,CASTELO BRANCO,PENAMACOR,PENAMACOR,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,13-02-2002,-,NÃO,ATIVA,
27L/02AE,AÇUDE DA BRAVA,11,37.72,-7.637,243703.396,83871.698,GUADIANA,RIO GUADIANA,61977.77,6.15,BEJA,MÉRTOLA,MÉRTOLA,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,01-10-1958,01-10-1975,-,-,NÃO,EXTINTA,
04H/05A,AÇUDE DAS ANDORINHAS,191,41.568,-8.197,194635.741,510919.965,AVE,RIO AVE,148.38,-,BRAGA,PÓVOA DE LANHOSO,TRAVASSOS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,07-01-2003,01-09-2019,NÃO,DESATIVADA,
04H/02AE,AÇUDE DAS ANDORINHAS (R.E.),178,41.568,-8.196,194738.598,511003.971,AVE,RIO AVE,148.32,-,BRAGA,GUIMARÃES,CASTELÕES,-,EDP-HDN,-,ESCALA,01-01-1945,-,-,-,NÃO,ATIVA,
05E/02AE,AÇUDE DE TOUGUES,24,41.368,-8.698,152756.969,488848.083,AVE,RIO AVE,1113.86,-,PORTO,VILA DO CONDE,TOUGUINHÓ,-,CCDR-NORTE,-,ESCALA,01-03-1978,30-09-1990,-,-,NÃO,EXTINTA,
09H/05A,AÇUDE DO ALFUSQUEIRO,379,40.687,-8.218,192820.654,413080.068,VOUGA/RIBEIRAS COSTEIRAS,RIO ALFUSQUEIRO,47.63,-,VISEU,VOUZELA,CAMPIA,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,19-12-2001,22-05-2007,NÃO,DESATIVADA,
15E/05A,AÇUDE DO ARRABALDE,25,39.752,-8.812,141792.531,309468.651,LIS/RIBEIRAS COSTEIRAS,RIO LIS,238.62,23.833,LEIRIA,LEIRIA,MARRAZES,Autoridade Nacional da Água,CCDR-CENTRO,SENSOR DE NÍVEL,Limnigráfica,01-02-1980,31-12-1999,12-11-2001,-,NÃO,ATIVA,
25P/01A,AÇUDE DO BUFO,189,38.151,-6.997,299588,132185.954,GUADIANA,RIBEIRA DA MÚRTEGA,803.01,-,BEJA,BARRANCOS,BARRANCOS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,19-07-2001,-,NÃO,ATIVA,
20H/01A,AÇUDE DO FURADOURO,54,38.969,-8.209,193444.665,222346.948,TEJO,RIBEIRA DA RAIA OU DE SEDA,3387.41,-,ÉVORA,MORA,MORA,Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,LIMNIMÉTRICA,02-03-1959,-,20-04-2001,-,NÃO,ATIVA,
20I/01AE,AÇUDE DO GAMEIRO,64,38.954,-8.11,202020.668,220756.48,TEJO,RIBEIRA DA RAIA OU DE SEDA,3276.92,-,ÉVORA,MORA,CABEÇÃO,-,-,-,ESCALA,01-01-1960,-,-,-,NÃO,ATIVA,
25L/01A,AÇUDE DO PEDROGÃO (R.E.),67,38.109,-7.631,244027.583,126988.76,GUADIANA,RIO GUADIANA,59397.21,-,BEJA,VIDIGUEIRA,PEDRÓGÃO,EDP,-,Sensores automáticos,-,-,-,08-05-2006,-,SIM,ATIVA,
12G/01A,AÇUDE PONTE COIMBRA,20,40.216,-8.44,173868.825,360830.029,MONDEGO,RIO MONDEGO,4918.53,14.3,COIMBRA,COIMBRA,COIMBRA (SANTA CRUZ),-,Autoridade Nacional da Água,Sensor de nível em albufeira,ESCALA,01-01-1981,-,-,-,NÃO,ATIVA,
25E/02H,BADOCA,5,38.073,-8.782,143068.032,123149.594,RIBEIRAS DO ALENTEJO,RIBEIRA DA BADOCA OU SANTO ANDRÉ,100.28,-,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,24-05-2001,-,SIM,DESATIVADA,
07K/02H,BAGAÚSTE (R.E.),54,41.148,-7.746,232466.273,464351.232,DOURO,RIO DOURO,91032.6,45.38,VISEU,LAMEGO,VALDIGEM,-,EDP,-,LIMNIMÉTRICA,10-07-1952,26-09-1977,-,-,NÃO,EXTINTA,
06G/01H,BALSA,146,41.226,-8.439,174385.646,473074.417,DOURO,RIO FERREIRA,94.34,-,PORTO,PAREDES,REBORDOSA,-,CCDR-NORTE,-,ESCALA,01-03-1978,31-10-1985,-,-,NÃO,EXTINTA,
24M/01H,BARBOSA,88,38.223,-7.459,259067.562,139799.115,GUADIANA,RIO GUADIANA,53694.36,78.82,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),-,CCDR-ALENTEJO,-,ESCALA,01-10-1946,06-12-1968,-,-,NÃO,EXTINTA,
07P/01H,BARCA DE ALVA (R.E.),133,41.03,-6.949,299615.066,451867.515,DOURO,RIO DOURO,78283.07,117.13,GUARDA,FIGUEIRA DE CASTELO RODRIGO,ESCALHÃO,-,EDP,-,ESCALA,01-10-1961,31-05-1964,-,-,NÃO,EXTINTA,
04E/03H,BARCA DO LAGO,5,41.515,-8.747,148743.51,505231.73,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,1571.51,-,BRAGA,ESPOSENDE,FONTE BOA,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1941,30-09-1952,-,-,NÃO,EXTINTA,
04F/02H,BARCELOS,11,41.528,-8.623,159108.969,506595.959,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,1434.3,-,BRAGA,BARCELOS,BARCELOS,Autoridade Nacional da Água,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1935,03-06-2002,-,-,NÃO,SUSPENSA,
03H/01H,BARCO (R.E.),55,41.817,-8.333,183387.552,538686.292,LIMA,RIO LIMA,1675.27,30.551,VIANA DO CASTELO,ARCOS DE VALDEVEZ,SÃO JORGE,-,EDP,-,ESCALA,13-04-1973,28-02-1978,-,-,NÃO,EXTINTA,
12L/01H,BARCO DO ZÊZERE,384,40.17023896,-7.61340985,244269.708,355865.875,TEJO,RIO ZÊZERE,1249.96,-,CASTELO BRANCO,COVILHÃ,BARCO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,05-06-2002,-,SIM,ATIVA,
17G/05H,BARQUINHA,21,39.456,-8.421,175229.708,276512.396,TEJO,RIO TEJO,67530.31,14.048,SANTARÉM,VILA NOVA DA BARQUINHA,VILA NOVA DA BARQUINHA,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,ESCALA,01-10-1911,-,13-12-2001,25-01-2003,NÃO,DESATIVADA,
14H/03H,BARRAGEM DA BOUÇÃ (JUSANTE),134,39.856,-8.225,192175.719,320829.01,TEJO,RIO ZÊZERE,2630.3,-,LEIRIA,FIGUEIRÓ DOS VINHOS,BAIRRADAS,-,CCDR-CENTRO,-,ESCALA,01-04-1965,28-02-1973,-,-,NÃO,EXTINTA,
14H/04H,BARRAGEM DA BOUÇÃ (MONTANTE),152,39.856,-8.225,192116.448,320825.041,TEJO,RIO ZÊZERE,2630.32,-,LEIRIA,FIGUEIRÓ DOS VINHOS,BAIRRADAS,-,CCDR-CENTRO,-,ESCALA,01-10-1955,28-02-1973,-,-,NÃO,EXTINTA,
03J/04H,BARRAGEM DA PARADELA,696,41.767,-7.95,215215.771,533069.458,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,216.9,-,VILA REAL,MONTALEGRE,PARADELA,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1943,30-09-1951,-,-,NÃO,EXTINTA,
14I/02H,BARRAGEM DE CABRIL,266,39.926,-8.126,200599.24,328663.635,TEJO,RIO ZÊZERE,2412.9,-,CASTELO BRANCO,SERTÃ,PEDRÓGÃO PEQUENO,-,CCDR-CENTRO,-,ESCALA,21-05-1954,28-02-1960,-,-,NÃO,EXTINTA,
05S/01H,BARRAGEM DE PICOTE,488,41.38,-6.347,349434.604,491634.244,DOURO,RIO DOURO,64018.43,-,BRAGANÇA,MIRANDA DO DOURO,PICOTE,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1966,01-01-2000,-,-,NÃO,EXTINTA,
30G/10H,BARRAGEM DO FUNCHO (JUSANTE),105,37.273,-8.37,178990.115,34189.677,ARADE,RIO ARADE,195.99,-,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,-,CCDR-ALGARVE,-,LIMNIMÉTRICA,01-10-1964,30-09-1985,-,-,NÃO,EXTINTA,
30G/09H,BARRAGEM DO FUNCHO (MONTANTE),46,37.242,-8.38,178081.49,30670.438,ARADE,RIO ARADE,217.55,-,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,-,CCDR-ALGARVE,-,LIMNIMÉTRICA,01-10-1971,01-10-1984,-,-,NÃO,EXTINTA,
02H/02H,BARRAGEM DO LINDOSO,299,41.871,-8.204,194102.781,544672.72,LIMA,RIO LIMA,1511.01,-,VIANA DO CASTELO,ARCOS DE VALDEVEZ,SOAJO,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1930,30-09-1973,-,-,NÃO,EXTINTA,
H010H,BARRAGEM SALAS,-,-,-,-,-,LIMA,RIO LIMA,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
30G/04H,BARRANCO DO FUNCHO,96,37.27,-8.38,178098,33807,ARADE,RIO ARADE,197.18,-,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,-,CCDR-ALGARVE,-,ESCALA,01-10-1971,30-09-1985,-,-,NÃO,EXTINTA,
17N/01H,BEIRÃ,293,39.465,-7.306,271145.43,277788.268,TEJO,RIO SEVER,115.9,-,PORTALEGRE,MARVÃO,BEIRÃ,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,27-07-2001,-,NÃO,SUSPENSA,
30L/03H,BELICHE (MONTANTE),24,37.276,-7.509,255386.43,34674.915,GUADIANA,RIBEIRA DE BELICHE,98.5,-,FARO,CASTRO MARIM,AZINHAL,-,CCDR-ALGARVE,-,ESCALA,01-10-1976,30-09-1986,-,-,NÃO,EXTINTA,
30L/01H,BELICHE (POVOAÇÃO),16,37.277,-7.508,255465.805,34752.636,GUADIANA,RIBEIRA DE BELICHE,98.6,8.58,FARO,CASTRO MARIM,AZINHAL,-,CCDR-ALGARVE,-,LIMNIMÉTRICA,01-10-1975,30-09-1986,-,-,NÃO,EXTINTA,
06S/02H,BEMPOSTA (R.E.),346,41.298,-6.475,338904.924,482270.74,DOURO,RIO DOURO,64185.66,333.06,BRAGANÇA,MOGADOURO,BEMPOSTA,-,EDP,-,LIMNIMÉTRICA,01-02-1948,22-01-1966,-,-,NÃO,EXTINTA,
20E/01H,BENAVENTE,10,38.984,-8.808,141528.576,224268.956,TEJO,RIO SORRAIA,6266.7,.07,SANTARÉM,BENAVENTE,BENAVENTE,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,ESCALA,01-10-1920,-,09-07-2001,14-03-2003,NÃO,DESATIVADA,
31E/01H,BENSAFRIM,15,37.155,-8.722,147708.469,21223.837,RIBEIRAS DO ALGARVE,RIBEIRA DE BENSAFRIM,22.39,-,FARO,LAGOS,BENSAFRIM,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,28-06-2001,-,SIM,ATIVA,
H005H,BOCAS,-,-,-,-,-,TEJO,RIO MAIOR,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
31K/03H,BODEGA,16,37.162,-7.699,238587.622,21871.904,RIBEIRAS DO ALGARVE,RIBEIRA DE ALPORTEL,133.64,9.86,FARO,TAVIRA,SANTO ESTÊVÃO,Autoridade Nacional da Água,CCDR-ALGARVE,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1975,-,26-06-2001,-,SIM,ATIVA,
03L/01H,BOTICAS (R.E.),488,41.678,-7.649,240351.104,523311.883,DOURO,RIO TERVA,100.42,481.99,VILA REAL,BOTICAS,GRANJA,-,EDP,-,LIMNIMÉTRICA,30-09-1970,-,-,-,NÃO,ATIVA,
14H/01H,BOUÇÃ,172,39.854,-8.22,192586.346,320590.054,TEJO,RIO ZÊZERE,2601.71,118.57,LEIRIA,PEDRÓGÃO GRANDE,GRAÇA,-,CCDR-CENTRO,-,LIMNIMÉTRICA,01-10-1934,30-09-1956,-,-,NÃO,EXTINTA,
30E/02H,BRAVURA,96,37.202,-8.698,149866.501,26351.383,RIBEIRAS DO ALGARVE,RIBEIRO DE ODEÁXERE,76.58,-,FARO,LAGOS,BENSAFRIM,-,CCDR-ALGARVE,-,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1933,01-09-1969,-,-,NÃO,EXTINTA,
17F/01H,C.N.F.T - TORRES NOVAS,45,39.483,-8.546,164509.19,279504,TEJO,RIO ALMONDA,44.78,34.3,SANTARÉM,TORRES NOVAS,TORRES NOVAS (SÃO PEDRO),Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,Limnigráfica,01-10-1977,-,20-11-2001,-,NÃO,ATIVA,
25N/01H,CABEÇA GORDA,174,38.092,-7.205,281382.906,125390.385,GUADIANA,RIBEIRA DE SAFAREJO,61.49,-,BEJA,MOURA,SAFARA,-,CCDR-ALENTEJO,-,ESCALA,01-10-1957,30-09-1966,-,-,NÃO,EXTINTA,
20I/03H,CABEÇÃO,68,38.944,-8.105,202422.189,219632.241,TEJO,RIBEIRA DA RAIA OU DE SEDA,3274.29,-,ÉVORA,MORA,CABEÇÃO,-,CCDR-ALENTEJO,-,Escala com descarregador,15-11-1934,31-10-1957,-,-,NÃO,EXTINTA,
04J/02H,CABREIRA DERIVAÇÃO (R.E.),831,41.653,-7.998,211224.583,520448.333,CÁVADO/RIBEIRAS COSTEIRAS,RIO SALTADOURO OU DA CABREIRA,13.5,833,VILA REAL,MONTALEGRE,SALTO,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,02-01-1972,-,-,-,NÃO,ATIVA,
04J/07H,CABREIRA TOTAL (R.E.),829,41.652,-7.997,211315.354,520343.823,CÁVADO/RIBEIRAS COSTEIRAS,RIO SALTADOURO OU DA CABREIRA,12,-,BRAGA,VIEIRA DO MINHO,CAMPOS,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,07-01-1972,-,-,-,NÃO,ATIVA,
09I/05H,CABRIA (R.E.),198,40.759,-8.054,206692.479,421068.57,VOUGA/RIBEIRAS COSTEIRAS,RIO VOUGA,415.64,165.73,VISEU,SÃO PEDRO DO SUL,SÃO PEDRO DO SUL,-,EDP,-,LIMNIMÉTRICA,02-10-1998,-,-,-,NÃO,ATIVA,
07I/06H,CABRIZ,416,41.06999972,-8.10901809,202026.636,455653.479,DOURO,RIBEIRA DE SAMPAIO,10.68,246.76,VISEU,CINFÃES,CINFÃES,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,28-01-2002,25-07-2017,NÃO,DESATIVADA,
07I/04H,CABRIZ (R.E.),311,41.073,-8.11,201942.907,455954.844,DOURO,RIBEIRA DE SAMPAIO,10.8,246.76,VISEU,CINFÃES,SÃO CRISTOVÃO DE NOGUEIRA,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,29-09-1966,-,-,-,NÃO,ATIVA,
07I/01H,CABRUM (R.E.),53,41.096,-8.028,208827.531,458591.219,DOURO,RIO DOURO,92181.07,-,VISEU,CINFÃES,OLIVEIRA DO DOURO,-,EDP,-,Limnigráfica,17-03-1972,-,-,-,NÃO,SUSPENSA,
20O/03H,CAIA (GUADIANA),156,38.843,-7.077,291710.312,208916.211,GUADIANA,RIO CAIA,834.21,204.25,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,14-09-2001,-,SIM,SUSPENSA,
19D/03H,CAIS DO CARREGADO,8,39.002,-8.94,130106.353,226391.506,TEJO,RIO TEJO,71151.51,2.96,LISBOA,ALENQUER,CARREGADO,-,CCDR-LVT,-,LIMNIMÉTRICA,01-10-1974,31-03-1983,-,-,NÃO,EXTINTA,
07F/05H,CAIS DOS BANHOS,0,41.139,-8.617,159366.564379,463711.858414,DOURO,RIO DOURO,97699.74,0,PORTO,PORTO,SÃO NICOLAU,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,12-02-1997,-,SIM,ATIVA,
10J/01H,CALDAS DE SÃO GEMIL,166,40.523,-7.971,213703.542,394907.805,MONDEGO,RIO DÃO,619.42,159.92,VISEU,TONDELA,LAJEOSA DO DÃO,Autoridade Nacional da Água,CCDR-CENTRO,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1920,-,10-10-2001,-,NÃO,ATIVA,
10M/07H,CALDEIRÃO,577,40.535,-7.335,267624.957,396509.213,MONDEGO,RIBEIRA DO CALDEIRÃO,37.79,556.5,GUARDA,GUARDA,PÊRO SOARES,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,06-11-2001,21-01-2010,NÃO,DESATIVADA,
10M/06H,CALDEIRÃO (R.E.),577,40.535,-7.335,267624.957,396509.213,MONDEGO,RIBEIRA DO CALDEIRÃO,37.79,556.51,GUARDA,GUARDA,PÊRO SOARES,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,31-12-1949,30-09-2011,-,-,NÃO,EXTINTA,
19F/01H,CALHA DO GROU,37,39.124,-8.508,167582.921,239629.535,TEJO,RIBEIRA DA CALHA DO GROU,104.68,-,SANTARÉM,ALMEIRIM,RAPOSA,-,CCDR-LVT,-,Escala com descarregador,08-03-1933,31-05-1945,-,-,NÃO,EXTINTA,
12H/04H,CANEIRO,52,40.171,-8.318,184249.175,355792.574,MONDEGO,RIO CEIRA,477,-,COIMBRA,MIRANDA DO CORVO,SEMIDE,-,CCDR-CENTRO,-,ESCALA,01-10-1920,31-03-1966,-,-,NÃO,EXTINTA,
07H/03H,CANEIROS,51,41.06,-8.254,189863.275,454512.413,DOURO,RIO PAIVA,791.44,9.8,AVEIRO,CASTELO DE PAIVA,FORNOS,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1937,31-03-1966,-,-,NÃO,EXTINTA,
05G/02H,CANIÇOS,85,41.363,-8.435,174739.775,488272.45,AVE,RIO AVE,815.78,-,PORTO,SANTO TIRSO,REBORDÕES,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1934,30-09-1941,-,-,NÃO,EXTINTA,
07I/02H,CARRAPATELO,26,41.085,-8.132,200103.8,457312.413,DOURO,RIO DOURO,92375.92,-,VISEU,CINFÃES,SÃO CRISTOVÃO DE NOGUEIRA,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-07-1972,30-09-1994,-,-,NÃO,EXTINTA,
28K/03H,CARREIRAS,59,37.617,-7.683,239711.301,72411.009,GUADIANA,RIBEIRA DE CARREIRAS,318.18,97.95,BEJA,MÉRTOLA,MÉRTOLA,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,16-05-2001,-,SIM,ATIVA,
